Sample ID,True Cancer Type,Predicted Cancer Type,Confidence
CAL120_BREAST,breast,lung,0.9902468955842486
HCC1588_LUNG,lung,large_intestine,0.97234393186521
SNUC2A_LARGE_INTESTINE,large_intestine,stomach,0.40068116358880235
TCCSUP_URINARY_TRACT,urinary_tract,lung,0.2551696903987936
MESSA_SOFT_TISSUE,soft_tissue,ovary,0.7909171794862465
JMSU1_URINARY_TRACT,urinary_tract,ovary,0.8305930033317397
KYSE520_OESOPHAGUS,oesophagus,lung,0.639943972210001
HUH28_BILIARY_TRACT,biliary_tract,breast,0.7296100304479294
FUOV1_OVARY,ovary,endometrium,0.671985898812894
NCIH1341_LUNG,lung,stomach,0.9075921711826894
ES2_OVARY,ovary,central_nervous_system,0.6238254866395693
DKMG_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,bone,0.5022685182822088
BFTC909_KIDNEY,kidney,breast,0.6412980841086134
NCIH196_LUNG,lung,bone,0.5260987171953205
FADU_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_tract,oesophagus,0.7237452530935526
NCIH2405_LUNG,lung,pancreas,0.4692120989601949
HS751T_FIBROBLAST,haematopoietic_and_lymphoid_tissue,skin,0.44619410788360964
DAOY_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,bone,0.33481604705805773
RMUGS_OVARY,ovary,lung,0.5104780754055275
QGP1_PANCREAS,pancreas,lung,0.9990865518867831
SNU685_ENDOMETRIUM,endometrium,central_nervous_system,0.32143685464445376
TE5_OESOPHAGUS,oesophagus,upper_aerodigestive_tract,0.6406107352610538
SLR20_KIDNEY,kidney,lung,0.815400452153342
KYSE450_OESOPHAGUS,oesophagus,lung,0.6285890839488882
HS888T_FIBROBLAST,bone,large_intestine,0.254238071506373
RPMI7951_SKIN,skin,soft_tissue,0.40864385483204135
NCIH684_LIVER,liver,large_intestine,0.9926411719914717
MSTO211H_PLEURA,pleura,lung,0.6468313866814334
NCIH2052_PLEURA,pleura,lung,0.6782733035265649
MDAMB157_BREAST,breast,bone,0.45714352333987057
BHT101_THYROID,thyroid,lung,0.7544602458918382
HCC2108_LUNG,lung,pancreas,0.6506508614024756
FU97_STOMACH,stomach,liver,0.861227786609515
OAW28_OVARY,ovary,endometrium,0.5070789090101626
HS895T_FIBROBLAST,skin,pleura,0.6012247105990591
NUGC4_STOMACH,stomach,large_intestine,0.6484937606016523
SUIT2_PANCREAS,pancreas,urinary_tract,0.4652463812915641
EPLC272H_LUNG,lung,upper_aerodigestive_tract,0.7385419554994973
SNU81_LARGE_INTESTINE,large_intestine,stomach,0.5531535437290428
SNU46_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_tract,lung,0.9919358530039863
NCIH226_LUNG,lung,pleura,0.9897271303625131
EFO27_OVARY,ovary,stomach,0.35336026985207486
TE8_OESOPHAGUS,oesophagus,lung,0.34775222747943946
OUMS23_LARGE_INTESTINE,large_intestine,stomach,0.6179825397680206
SNU1_STOMACH,stomach,large_intestine,0.5401302392736896
LNCAPCLONEFGC_PROSTATE,prostate,lung,0.899023196254604
ML1_THYROID,thyroid,lung,0.7875714213699875
HOS_BONE,bone,liver,0.5293449106151982
SNU1041_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_tract,oesophagus,0.7863250344337199
CALU3_LUNG,lung,pancreas,0.3043667259608912
RH30_SOFT_TISSUE,soft_tissue,central_nervous_system,0.62961184720357
TE125T_FIBROBLAST,soft_tissue,haematopoietic_and_lymphoid_tissue,0.8315586021549443
SH10TC_STOMACH,stomach,lung,0.5694092044287944
CAOV4_OVARY,ovary,endometrium,0.6951383390099134
L33_PANCREAS,pancreas,lung,0.5099592268379703
HS840T_FIBROBLAST,upper_aerodigestive_tract,lung,0.5389162225410884
MDAPCA2B_PROSTATE,prostate,breast,0.718193876051547
ESS1_ENDOMETRIUM,endometrium,ovary,0.3806860713035055
HT1080_SOFT_TISSUE,soft_tissue,central_nervous_system,0.36436486630678905
SAOS2_BONE,bone,central_nervous_system,0.5297716634757836
SCABER_URINARY_TRACT,urinary_tract,upper_aerodigestive_tract,0.7828125877131672
MDAMB436_BREAST,breast,lung,0.7925087059225266
A2780_OVARY,ovary,soft_tissue,0.6899182761904413
SNU869_BILIARY_TRACT,biliary_tract,pancreas,0.7820012057127197
SNU668_STOMACH,stomach,lung,0.7618882174725098
KURAMOCHI_OVARY,ovary,endometrium,0.8176369934785463
